Xl,gamma,al
    0.002325,  -20.000000,   21.000000
    0.004375,  -20.000000,  416.000000
    0.036100,  -20.000000, 1065.000000
    0.000675,  -20.000000,    8.000000
    0.000225,  -20.000000,   71.000000
    0.000050,  -20.000000,    1.000000
    0.000300,  -20.000000,   12.000000
    0.000075,  -20.000000,    3.000000
    0.000200,  -20.000000,    4.000000
    0.000225,  -20.000000,    5.000000
    0.000225,  -20.000000,    9.000000
    0.000175,  -20.000000,   22.000000
    0.000425,  -20.000000,   22.000000
    0.043575,  -20.000000, 1530.000000
    0.000100,  -20.000000,    4.000000
    0.000050,  -20.000000,    1.000000
    0.001550,  -20.000000,  291.000000
    0.000600,  -20.000000,  246.000000
    0.000100,  -20.000000,    3.000000
    0.008325,  -20.000000,  391.000000
    0.013350,  -20.000000, 1382.000000
    0.040050,  -20.000000, 1044.000000
    0.000125,  -20.000000,    3.000000
    0.000075,  -20.000000,    2.000000
    0.000800,  -20.000000,   33.000000
    0.003100,  -20.000000,  242.000000
    0.004400,  -20.000000,  187.000000
    0.019075,  -20.000000,  344.000000
    0.009825,  -20.000000, 1309.000000
    0.000050,  -20.000000,    1.000000
    0.013075,  -20.000000, 1021.000000
    0.005825,  -20.000000,  813.000000
    0.002150,  -20.000000,  100.000000
    0.000350,  -20.000000,   78.000000
    0.002150,  -20.000000,  133.000000
    0.000050,  -20.000000,    1.000000
    0.000025,  -20.000000,    1.000000
    0.000150,  -20.000000,    4.000000
    0.005600,  -20.000000,  848.000000
    0.005750,  -20.000000, 4119.000000
    0.000175,  -20.000000,   14.000000
    0.000100,  -20.000000,    3.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.002075,  -20.000000,   48.000000
    0.001325,  -20.000000,   83.000000
    0.013625,  -20.000000,  970.000000
    0.000125,  -20.000000,    5.000000
    0.000175,  -20.000000,   61.000000
    0.000100,  -20.000000,   53.000000
    0.000375,  -20.000000,   60.000000
    0.000100,  -20.000000,    4.000000
    0.009950,  -20.000000,  231.000000
    0.003225,  -20.000000,   80.000000
    0.002550,  -20.000000,  114.000000
    0.000275,  -20.000000,   10.000000
    0.010800,  -20.000000, 4068.000000
    0.002850,  -20.000000,  168.000000
    0.000275,  -20.000000,    3.000000
    0.005775,  -20.000000,   45.000000
    0.000550,  -20.000000,  218.000000
    0.000600,  -20.000000,  198.000000
    0.001100,  -20.000000,   18.000000
    0.021700,  -20.000000,  365.000000
    0.000325,  -20.000000,    5.000000
    0.000300,  -20.000000,    4.000000
    0.000075,  -20.000000,    3.000000
    0.003775,  -20.000000,  262.000000
    0.000600,  -20.000000,   21.000000
    0.006075,  -20.000000,  134.000000
    0.000825,  -20.000000,   22.000000
    0.001525,  -20.000000,   74.000000
    0.001875,  -20.000000,  460.000000
    0.001600,  -20.000000,  143.000000
    0.001775,  -20.000000,   89.000000
    0.000075,  -20.000000,    7.000000
    0.000025,  -20.000000,    1.000000
    0.000400,  -20.000000,   11.000000
    0.000125,  -20.000000,   12.000000
    0.000325,  -20.000000,    8.000000
    0.001975,  -20.000000,  279.000000
    0.000025,  -20.000000,    1.000000
    0.010050,  -20.000000,  304.000000
    0.000425,  -20.000000,   72.000000
    0.000050,  -20.000000,    1.000000
    0.000300,  -20.000000,  196.000000
    0.000050,  -20.000000,    1.000000
    0.024600,  -20.000000, 2044.000000
    0.000100,  -20.000000,   17.000000
    0.000075,  -20.000000,    2.000000
    0.000525,  -20.000000,   78.000000
    0.000325,  -20.000000,   16.000000
    0.000050,  -20.000000,    1.000000
    0.004150,  -20.000000,  133.000000
    0.029625,  -20.000000, 2620.000000
    0.000125,  -20.000000,    2.000000
    0.000425,  -20.000000,    6.000000
    0.000175,  -20.000000,    6.000000
    0.000125,  -20.000000,   15.000000
    0.000050,  -20.000000,    1.000000
    0.010675,  -20.000000,  641.000000
    0.028300,  -20.000000, 2044.000000
    0.038900,  -20.000000,  531.000000
    0.001275,  -20.000000,  180.000000
    0.000125,  -20.000000,    5.000000
    0.000975,  -20.000000,   52.000000
    0.000300,  -20.000000,    3.000000
    0.005075,  -20.000000,  188.000000
    0.003375,  -20.000000, 1041.000000
    0.000050,  -20.000000,    1.000000
    0.015600,  -20.000000,  357.000000
    0.000250,  -20.000000,    8.000000
    0.000975,  -20.000000,   30.000000
    0.002600,  -20.000000, 2249.000000
    0.000550,  -20.000000,   29.000000
    0.006025,  -20.000000,  437.000000
    0.000175,  -20.000000,    3.000000
    0.000075,  -20.000000,    2.000000
    0.000075,  -20.000000,    3.000000
    0.000300,  -20.000000,   11.000000
    0.000075,  -20.000000,    4.000000
    0.000050,  -20.000000,    1.000000
    0.005625,  -20.000000,   77.000000
    0.005200,  -20.000000, 2256.000000
    0.002725,  -20.000000,  231.000000
    0.001800,  -20.000000,  160.000000
    0.006775,  -20.000000,  186.000000
    0.000225,  -20.000000,    3.000000
    0.000275,  -20.000000,  149.000000
    0.000025,  -20.000000,    1.000000
    0.000150,  -20.000000,    6.000000
    0.000075,  -20.000000,  158.000000
    0.000400,  -20.000000,    5.000000
    0.023825,  -20.000000,  457.000000
    0.015300,  -20.000000,  809.000000
    0.012400,  -20.000000,  712.000000
    0.000225,  -20.000000,  326.000000
    0.000125,  -20.000000,    2.000000
    0.024500,  -20.000000, 1190.000000
