tid,gamma,trueage,relmid,impsamp,freqonly
414,2.371,-2.4664,-2.59815,-2.71399,-2.4153
415,1.778,-1.94586,-2.071,-2.18361,-1.90964
416,1.334,-1.35229,-1.53429,-1.58648,-1.29892
417,1,-1.12463,-1.26576,-1.30881,-1.04744
418,0.332,-0.60005,-0.75265,-0.68618,-0.52205
419,0.005,-0.0739,-0.17506,-0.05091,0.02093
420,0,-7.1899,-5.90904,-6.3561,-5.49802
421,100,-95.06108,-88.59753,-97.79324,-102.8765
422,74.989,-87.28442,-74.45661,-81.7868,-91.14373
423,56.423,-54.1715,-44.80938,-49.01616,-51.53097
424,42.17,-63.43195,-47.5888,-55.32162,-65.59378
425,31.623,-36.90294,-31.85142,-35.43835,-35.74377
426,23.714,-27.64701,-23.53921,-26.45587,-27.07907
427,17.783,-19.12352,-13.14512,-17.38442,-18.00375
428,13.335,-14.04562,-12.36023,-14.30011,-13.99335
429,10,-9.00063,-8.31227,-9.39786,-8.97526
430,7.499,-7.36379,-6.86102,-7.75422,-7.37491
431,5.623,-5.98451,-5.70652,-6.22309,-5.81839
432,4.217,-4.88469,-4.65576,-5.40838,-5.47289
433,3.162,-3.94945,-4.10618,-4.38826,-4.03168
434,2.371,-2.46726,-2.59097,-2.76635,-2.57148
435,1.778,-1.90807,-1.98592,-2.06598,-1.8268
436,1.334,-1.44434,-1.59622,-1.59645,-1.34947
437,1,-1.0143,-1.22717,-1.25089,-0.96565
438,0.332,-0.2009,-0.30599,-0.2717,-0.10994
439,0.005,0.18562,0.24209,0.31537,0.27207
440,0,-3.91163,-3.52136,-3.64488,-3.02419
441,100,NaN,NaN,NaN,NaN
442,74.989,-69.29221,-56.23943,-65.16716,-65.02752
443,56.423,-54.60756,-42.07472,-50.05438,-53.3277
444,42.17,-43.65818,-37.78878,-41.49403,-41.50751
445,31.623,-39.51357,-32.34852,-38.88892,-40.90901
446,23.714,-26.1595,-21.61209,-25.04453,-26.0404
447,17.783,-18.4422,-17.35494,-19.56501,-19.31013
448,13.335,-13.00389,-11.13183,-13.04776,-13.12906
449,10,-10.79529,-9.49472,-10.94652,-10.84274
450,7.499,-7.48417,-7.23911,-8.4765,-8.11638
451,5.623,-5.43461,-5.46864,-5.93618,-5.90451
452,4.217,-4.22886,-4.28602,-4.54676,-3.98708
453,3.162,-2.95283,-3.10016,-3.23596,-2.86062
454,2.371,-2.22827,-2.36755,-2.45913,-2.10539
455,1.778,-1.71615,-1.93539,-1.98722,-1.70328
456,1.334,-1.55912,-1.75445,-1.81439,-1.54293
457,1,-1.25468,-1.45255,-1.44177,-1.22284
458,0.332,-0.31938,-0.47875,-0.40321,-0.25229
459,0.005,,,,
460,0,-4.55128,-3.95814,-4.15573,-3.49636
461,100,-100.38484,-81.30341,-87.36689,-95.18328
462,74.989,-96.83901,-85.29587,-89.06959,-88.47722
463,56.423,-55.54267,-47.95272,-53.14247,-53.78232
464,42.17,-42.95595,-32.99908,-39.32384,-40.90092
465,31.623,-29.93548,-24.73105,-29.37983,-30.24004
466,23.714,-23.24198,-18.91022,-22.84983,-23.63586
467,17.783,-18.39712,-16.18858,-18.07124,-18.57189
468,13.335,-13.6742,-12.31279,-14.06849,-14.1016
469,10,-10.8461,-9.92664,-11.11709,-10.80893
470,7.499,-8.76703,-7.33751,-9.18463,-9.21225
471,5.623,-6.03407,-5.41532,-6.40066,-6.05393
472,4.217,-4.03138,-3.84112,-4.27225,-3.87677
473,3.162,-3.30624,-3.24357,-3.59035,-3.20949
474,2.371,-2.68905,-2.76469,-2.98597,-2.5772
475,1.778,-1.57975,-1.82173,-1.87686,-1.59053
476,1.334,-1.0794,-1.27079,-1.30659,-1.05901
477,1,-1.12227,-1.34407,-1.38197,-1.14033
478,0.332,-0.66308,-0.82882,-0.85118,-0.61624
479,0.005,-0.04641,-0.08849,0.05274,0.05441
480,0,-5.03982,-4.48557,-4.64397,-3.94347
481,100,-97.08656,-73.26023,-86.50515,-100.0574
482,74.989,-81.48025,-73.16978,-82.29893,-88.48391
483,56.423,-53.72454,-46.48857,-50.26471,-53.00042
484,42.17,-39.01117,-31.20535,-36.86334,-39.63559
485,31.623,-35.59145,-25.59935,-33.18328,-34.96524
486,23.714,-23.78498,-18.76731,-22.96047,-22.95741
487,17.783,-16.74308,-15.26581,-17.36699,-16.94414
488,13.335,-14.54179,-11.78856,-14.65039,-14.08383
489,10,-10.87849,-9.39,-10.815,-10.49836
