Xl,gamma,al
     0.008425,  -100.000000,   236.000000
     0.007300,  -100.000000,   389.000000
     0.007825,  -100.000000,   349.000000
     0.010450,  -100.000000,   250.000000
     0.008625,  -100.000000,   404.000000
     0.005650,  -100.000000,   347.000000
     0.020825,  -100.000000,   939.000000
     0.005875,  -100.000000,   507.000000
     0.007050,  -100.000000,   163.000000
     0.009325,  -100.000000,   530.000000
     0.005525,  -100.000000,   133.000000
     0.007675,  -100.000000,   717.000000
     0.005175,  -100.000000,   254.000000
     0.005575,  -100.000000,    92.000000
     0.007125,  -100.000000,   259.000000
     0.010575,  -100.000000,   731.000000
     0.005875,  -100.000000,   687.000000
     0.007525,  -100.000000,   253.000000
     0.012825,  -100.000000,   177.000000
     0.010925,  -100.000000,  1235.000000
     0.005875,  -100.000000,   419.000000
     0.007725,  -100.000000,   177.000000
     0.005650,  -100.000000,   192.000000
     0.008750,  -100.000000,   604.000000
     0.010725,  -100.000000,    88.000000
     0.006425,  -100.000000,   323.000000
     0.007625,  -100.000000,   381.000000
     0.009575,  -100.000000,   354.000000
     0.005775,  -100.000000,   204.000000
     0.006725,  -100.000000,   251.000000
     0.009150,  -100.000000,   285.000000
     0.006225,  -100.000000,    84.000000
     0.005125,  -100.000000,   104.000000
     0.005125,  -100.000000,  1529.000000
     0.013800,  -100.000000,   617.000000
     0.007600,  -100.000000,   293.000000
     0.012275,  -100.000000,    62.000000
     0.007325,  -100.000000,   257.000000
     0.010300,  -100.000000,   931.000000
     0.010500,  -100.000000,  1396.000000
     0.008500,  -100.000000,   415.000000
     0.012550,  -100.000000,  1024.000000
     0.009225,  -100.000000,   103.000000
     0.008125,  -100.000000,  1286.000000
     0.007675,  -100.000000,   840.000000
     0.007125,  -100.000000,   137.000000
     0.008750,  -100.000000,   572.000000
     0.006725,  -100.000000,   186.000000
     0.008375,  -100.000000,   367.000000
     0.014200,  -100.000000,  1517.000000
     0.005900,  -100.000000,   280.000000
     0.006075,  -100.000000,  1069.000000
     0.005775,  -100.000000,   296.000000
     0.008975,  -100.000000,    93.000000
     0.008425,  -100.000000,   209.000000
     0.006350,  -100.000000,    94.000000
     0.008675,  -100.000000,   221.000000
     0.005675,  -100.000000,   128.000000
     0.005825,  -100.000000,   270.000000
     0.009900,  -100.000000,   275.000000
     0.007125,  -100.000000,   131.000000
     0.006325,  -100.000000,   150.000000
     0.006525,  -100.000000,    75.000000
     0.005250,  -100.000000,   218.000000
     0.012750,  -100.000000,  1259.000000
     0.011300,  -100.000000,   801.000000
     0.005350,  -100.000000,    49.000000
     0.010725,  -100.000000,   220.000000
     0.005075,  -100.000000,   157.000000
     0.005750,  -100.000000,   167.000000
     0.011250,  -100.000000,   115.000000
     0.007750,  -100.000000,   217.000000
     0.005675,  -100.000000,   116.000000
     0.007675,  -100.000000,   471.000000
     0.013875,  -100.000000,   600.000000
     0.009425,  -100.000000,  1417.000000
     0.006875,  -100.000000,   347.000000
     0.007375,  -100.000000,   434.000000
     0.006250,  -100.000000,   347.000000
     0.010100,  -100.000000,   863.000000
     0.005400,  -100.000000,   452.000000
     0.005750,  -100.000000,  1286.000000
     0.007800,  -100.000000,    74.000000
     0.005850,  -100.000000,   173.000000
     0.005425,  -100.000000,   397.000000
     0.005175,  -100.000000,    53.000000
     0.011350,  -100.000000,   651.000000
     0.005925,  -100.000000,   245.000000
     0.006250,  -100.000000,    86.000000
     0.006000,  -100.000000,    44.000000
     0.006575,  -100.000000,  1580.000000
     0.010200,  -100.000000,   233.000000
     0.005875,  -100.000000,   173.000000
     0.007625,  -100.000000,   847.000000
     0.010350,  -100.000000,   474.000000
     0.005800,  -100.000000,   325.000000
     0.007325,  -100.000000,  2529.000000
     0.008525,  -100.000000,   503.000000
     0.006850,  -100.000000,   777.000000
     0.008925,  -100.000000,   578.000000
     0.005150,  -100.000000,   328.000000
     0.005325,  -100.000000,   372.000000
     0.023775,  -100.000000,   322.000000
     0.009600,  -100.000000,   251.000000
     0.007475,  -100.000000,   117.000000
     0.009850,  -100.000000,   264.000000
     0.005350,  -100.000000,   508.000000
     0.011875,  -100.000000,  1412.000000
     0.006050,  -100.000000,   184.000000
     0.011475,  -100.000000,   732.000000
     0.006850,  -100.000000,   239.000000
     0.010175,  -100.000000,   323.000000
     0.015075,  -100.000000,   294.000000
     0.011625,  -100.000000,   286.000000
     0.008400,  -100.000000,   205.000000
     0.015075,  -100.000000,   161.000000
     0.016600,  -100.000000,   316.000000
     0.023575,  -100.000000,   716.000000
     0.011575,  -100.000000,   425.000000
     0.005775,  -100.000000,   137.000000
     0.012175,  -100.000000,   859.000000
     0.009750,  -100.000000,   692.000000
     0.007000,  -100.000000,   515.000000
     0.010175,  -100.000000,   849.000000
     0.009875,  -100.000000,   177.000000
     0.009100,  -100.000000,  1765.000000
     0.005250,  -100.000000,   124.000000
     0.006950,  -100.000000,   804.000000
     0.009150,  -100.000000,  1971.000000
     0.005825,  -100.000000,   506.000000
     0.008900,  -100.000000,   100.000000
     0.007325,  -100.000000,    76.000000
     0.008050,  -100.000000,   183.000000
     0.005725,  -100.000000,   457.000000
     0.014375,  -100.000000,   249.000000
     0.005975,  -100.000000,   158.000000
     0.007250,  -100.000000,   329.000000
     0.005175,  -100.000000,    88.000000
     0.010150,  -100.000000,   440.000000
     0.006750,  -100.000000,   383.000000
     0.016975,  -100.000000,   240.000000
     0.007375,  -100.000000,   400.000000
     0.005400,  -100.000000,   355.000000
     0.006025,  -100.000000,   949.000000
     0.005800,  -100.000000,  1185.000000
     0.011625,  -100.000000,   277.000000
     0.008150,  -100.000000,    33.000000
     0.006175,  -100.000000,    88.000000
     0.013575,  -100.000000,   349.000000
     0.009100,  -100.000000,   131.000000
     0.005225,  -100.000000,   111.000000
     0.008950,  -100.000000,   297.000000
     0.007050,  -100.000000,   254.000000
     0.030950,  -100.000000,  2352.000000
     0.005400,  -100.000000,   286.000000
     0.006550,  -100.000000,   411.000000
     0.008100,  -100.000000,  1161.000000
     0.006500,  -100.000000,   458.000000
     0.015825,  -100.000000,  1087.000000
     0.005225,  -100.000000,   179.000000
     0.009750,  -100.000000,   166.000000
     0.005800,  -100.000000,   273.000000
     0.007200,  -100.000000,   365.000000
     0.005900,  -100.000000,  1708.000000
     0.006375,  -100.000000,   164.000000
     0.005475,  -100.000000,   254.000000
     0.005075,  -100.000000,   397.000000
     0.021375,  -100.000000,  1158.000000
     0.006575,  -100.000000,   185.000000
     0.006825,  -100.000000,   160.000000
     0.007675,  -100.000000,   334.000000
     0.005425,  -100.000000,   334.000000
     0.005750,  -100.000000,   363.000000
     0.011225,  -100.000000,   275.000000
